Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
172.64.155.209,192.168.0.116,TCP,443,60616,66
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,78
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.148.235,192.168.0.116,TCP,443,53204,151
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,78
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,78
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.148.235,TCP,53204,443,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1356
172.64.155.209,192.168.0.116,TCP,443,60616,66
172.64.155.209,192.168.0.116,TCP,443,60616,553
172.64.155.209,192.168.0.116,TCP,443,60616,121
172.64.155.209,192.168.0.116,TCP,443,60616,97
192.168.0.116,172.64.155.209,TCP,60616,443,66
192.168.0.116,142.251.126.100,TCP,41092,443,74
142.251.126.100,192.168.0.116,TCP,443,41092,74
192.168.0.116,142.251.126.100,TCP,41092,443,66
192.168.0.116,142.251.126.100,TCP,41092,443,1872
142.251.126.100,192.168.0.116,TCP,443,41092,66
142.251.126.100,192.168.0.116,TCP,443,41092,66
142.251.126.100,192.168.0.116,TCP,443,41092,5463
192.168.0.116,142.251.126.100,TCP,41092,443,66
192.168.0.116,142.251.126.100,TCP,41092,443,140
142.251.126.100,192.168.0.116,TCP,443,41092,1048
192.168.0.116,142.251.126.100,TCP,41092,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,74
192.168.0.116,142.251.106.91,TCP,58230,443,74
142.251.106.91,192.168.0.116,TCP,443,58226,74
192.168.0.116,142.251.106.91,TCP,58226,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,1889
142.251.106.91,192.168.0.116,TCP,443,58230,74
192.168.0.116,142.251.106.91,TCP,58230,443,66
192.168.0.116,142.251.106.91,TCP,58230,443,1793
142.251.106.91,192.168.0.116,TCP,443,58226,66
142.251.106.91,192.168.0.116,TCP,443,58226,66
142.251.106.91,192.168.0.116,TCP,443,58230,66
142.251.106.91,192.168.0.116,TCP,443,58230,66
142.251.106.91,192.168.0.116,TCP,443,58226,1466
192.168.0.116,142.251.106.91,TCP,58226,443,66
142.251.106.91,192.168.0.116,TCP,443,58226,1466
142.251.106.91,192.168.0.116,TCP,443,58226,1466
192.168.0.116,142.251.106.91,TCP,58226,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,66
142.251.106.91,192.168.0.116,TCP,443,58226,1466
142.251.106.91,192.168.0.116,TCP,443,58226,867
192.168.0.116,142.251.106.91,TCP,58226,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,66
142.251.106.91,192.168.0.116,TCP,443,58230,4266
192.168.0.116,142.251.106.91,TCP,58230,443,66
142.251.106.91,192.168.0.116,TCP,443,58230,1466
142.251.106.91,192.168.0.116,TCP,443,58230,866
192.168.0.116,142.251.106.91,TCP,58230,443,66
192.168.0.116,142.251.106.91,TCP,58230,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,140
192.168.0.116,142.251.106.91,TCP,58230,443,140
192.168.0.116,142.251.106.91,TCP,58230,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,158
142.251.106.91,192.168.0.116,TCP,443,58226,1018
142.251.106.91,192.168.0.116,TCP,443,58230,1018
142.251.106.91,192.168.0.116,TCP,443,58230,66
142.251.106.91,192.168.0.116,TCP,443,58226,97
192.168.0.116,142.251.106.91,TCP,58230,443,54
192.168.0.116,142.251.106.91,TCP,58230,443,54
192.168.0.116,142.251.106.91,TCP,58226,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,97
192.168.0.116,142.251.106.91,TCP,58226,443,2075
142.251.106.91,192.168.0.116,TCP,443,58226,66
142.251.106.91,192.168.0.116,TCP,443,58226,66
142.251.106.91,192.168.0.116,TCP,443,58226,1466
142.251.106.91,192.168.0.116,TCP,443,58226,1466
142.251.106.91,192.168.0.116,TCP,443,58226,287
142.251.106.91,192.168.0.116,TCP,443,58226,97
142.251.106.91,192.168.0.116,TCP,443,58226,105
192.168.0.116,142.251.106.91,TCP,58226,443,66
192.168.0.116,142.251.106.91,TCP,58226,443,101
192.168.0.116,142.251.106.91,TCP,58226,443,105
142.251.106.91,192.168.0.116,TCP,443,58226,66
192.168.0.116,142.251.155.4,TCP,41936,443,74
142.251.155.4,192.168.0.116,TCP,443,41936,74
192.168.0.116,142.251.155.4,TCP,41936,443,66
192.168.0.116,142.251.155.4,TCP,41936,443,1893
142.251.155.4,192.168.0.116,TCP,443,41936,66
142.251.155.4,192.168.0.116,TCP,443,41936,6471
192.168.0.116,142.251.155.4,TCP,41936,443,66
